student_id,subject,topic,previous_score,study_hours,attempts,difficulty,confidence_level,days_since_revision,attendance,quiz_score,target_score
STU01103,ML,DecisionTrees,74.48,1.48,11,Hard,High,10,95.53,82.27,69.5
STU01152,OS,Scheduling,69.66,0.0,1,Easy,Medium,11,76.77,74.88,48.4
STU01170,ML,NeuralNets,69.44,1.21,20,Hard,Medium,56,63.48,75.66,29.23
STU01021,DSA,Sorting,52.99,2.88,15,Medium,Low,59,70.62,57.85,15.7
STU01431,OS,Scheduling,39.7,1.84,10,Easy,Medium,3,91.38,46.88,54.15
STU01304,Aptitude,Algebra,44.82,0.79,13,Easy,Medium,40,51.25,41.38,25.7
STU01345,Aptitude,Percentage,76.64,3.26,1,Easy,High,58,88.32,79.57,54.61
STU01041,ML,Regression,61.45,0.98,3,Medium,Low,43,68.84,74.79,28.47
STU01449,OS,FileSystem,74.36,0.67,14,Hard,Medium,38,86.04,77.85,32.61
STU01179,Aptitude,Percentage,70.95,1.94,4,Easy,Medium,12,59.58,73.83,51.09
STU01086,ML,Classification,52.79,1.52,12,Medium,Low,43,70.26,67.42,25.34
STU01128,DBMS,Transactions,59.84,2.61,20,Easy,High,12,81.91,38.28,67.18
STU01165,DSA,Stack,55.34,2.04,20,Medium,High,48,66.45,60.18,48.85
STU01268,Python,Functions,56.16,1.06,1,Hard,Low,18,73.74,64.54,34.87
STU01218,Python,Exceptions,38.56,4.06,5,Hard,High,51,64.98,43.11,26.08
STU01240,DSA,Arrays,80.79,0.99,4,Hard,Medium,18,81.47,94.67,52.58
STU01148,Aptitude,Algebra,73.56,4.55,11,Easy,Low,27,37.95,70.18,50.89
STU01415,Python,Functions,85.88,2.03,17,Hard,High,1,82.9,100.0,75.96
STU01009,DSA,Stack,59.29,5.47,20,Hard,High,10,90.98,72.83,79.85
STU01112,Python,Loops,100.0,2.64,9,Hard,Low,35,82.11,95.25,51.7
STU01277,ML,Clustering,77.68,2.53,14,Easy,Low,29,100.0,81.91,58.75
STU01438,OS,Deadlock,100.0,1.7,5,Medium,Low,59,76.41,95.37,51.31
STU01035,DSA,Searching,62.52,8.5,3,Easy,Medium,59,86.11,62.99,57.57
STU01469,Aptitude,Percentage,79.2,2.98,8,Hard,Medium,45,76.39,86.51,35.79
STU01342,Aptitude,Probability,44.49,4.72,9,Hard,High,42,57.25,53.99,48.23
STU01170,Aptitude,Probability,75.3,4.0,1,Hard,Medium,7,100.0,89.84,60.43
STU01460,OS,Memory,100.0,0.99,17,Medium,Medium,51,64.86,85.08,59.6
STU01264,CN,Security,100.0,2.54,20,Easy,High,15,100.0,100.0,99.11
STU01158,OS,Processes,49.15,0.06,9,Hard,High,11,73.28,42.15,32.38
STU01001,Aptitude,Probability,83.91,0.82,16,Medium,Medium,60,94.0,92.68,66.49
STU01278,CN,DNS,60.25,0.26,16,Medium,High,20,100.0,52.3,55.84
STU01222,CN,TCP-IP,56.2,1.17,19,Medium,Medium,57,76.96,93.07,44.9
STU01493,ML,Classification,77.16,2.13,1,Easy,High,32,90.49,86.97,71.22
